employee_id,current_role,target_role,years_experience,education_level,performance_rating,satisfaction_level,training_hours,certifications_count,last_promotion_years,projects_completed,department,target_role_success
314,Analyst,Data Analyst,3.08,Bachelor,4.56,0.06,17,1,1,10,Marketing,0
315,Analyst,Data Analyst,7.35,Master,4.04,0.4,18,1,2,10,Engineering,0
316,Manager,Program Manager,12.92,Bachelor,3.08,0.36,15,3,0,13,Operations,1
317,Consultant,Business Analyst,7.58,Bachelor,2.39,0.34,15,1,7,7,Sales,1
318,Engineer,Business Analyst,4.25,Bachelor,3.41,0.13,20,2,1,13,Marketing,1
319,Analyst,Data Analyst,6.58,Bachelor,3.39,0.19,23,0,3,10,Sales,0
320,Manager,Program Manager,3.01,Bachelor,2.82,0.31,15,1,0,8,Engineering,1
321,Manager,Data Analyst,5.34,Master,3.89,0.16,13,3,0,7,HR,0
322,Engineer,Data Analyst,4.42,Bachelor,4.79,0.16,19,1,1,13,Engineering,1
323,Consultant,Business Analyst,6.42,Master,3.66,0.49,30,4,5,8,Finance,1
324,Analyst,Program Manager,3.57,High School,3.61,0.04,9,2,2,9,Marketing,1
325,Analyst,Data Analyst,6.69,Bachelor,2.84,0.5,18,0,7,12,Engineering,1
326,Manager,Business Analyst,3.54,Bachelor,4.48,0.13,18,4,1,14,HR,1
327,Consultant,Data Analyst,9.19,Master,3.45,0.38,15,2,1,6,Sales,1
328,Analyst,Data Analyst,3.84,High School,3.09,0.32,26,1,0,13,Marketing,0
329,Engineer,Business Analyst,0.53,Bachelor,3.54,0.12,24,1,4,8,Operations,0
330,Consultant,Business Analyst,2.02,Master,3.83,0.16,18,2,0,10,Engineering,1
331,Consultant,Program Manager,5.07,Bachelor,3.6,0.42,22,1,6,11,HR,1
332,Manager,Data Analyst,14.71,Master,4.34,0.22,14,2,6,17,Engineering,1
333,Manager,Program Manager,8.95,High School,3.77,0.75,25,2,8,19,Finance,1
334,Analyst,Business Analyst,0.4,Master,3.3,0.18,14,1,2,10,Marketing,1
335,Manager,Business Analyst,1.18,Master,3.78,0.17,16,1,3,9,Sales,0
336,Consultant,Data Analyst,10.87,Master,3.85,0.1,22,5,4,9,HR,1
337,Analyst,Program Manager,7.87,Bachelor,2.59,0.16,23,1,0,12,Engineering,0
338,Analyst,Program Manager,19.96,High School,4.3,0.25,25,6,2,14,Marketing,1
339,Consultant,Data Analyst,3.42,Master,3.29,0.7,20,4,0,11,Engineering,1
340,Analyst,Data Analyst,2.38,Bachelor,3.31,0.16,15,2,1,9,Marketing,0
341,Engineer,Program Manager,5.28,High School,4.03,0.04,26,1,0,8,Finance,0
342,Engineer,Business Analyst,3.37,Master,4.02,0.19,22,1,0,7,Engineering,1
343,Analyst,Business Analyst,10.19,Bachelor,3.01,0.28,23,3,1,12,Finance,1
344,Manager,Data Analyst,3.27,High School,4.06,0.5,11,2,1,14,Operations,0
345,Engineer,Program Manager,4.03,Bachelor,3.11,0.29,16,1,2,10,Operations,0
346,Analyst,Program Manager,2.09,High School,4.77,0.21,12,4,0,5,HR,1
347,Engineer,Program Manager,8.54,Bachelor,2.92,0.17,17,2,1,9,Finance,1
348,Manager,Business Analyst,2.21,Master,3.67,0.4,27,1,0,9,Marketing,1
349,Consultant,Business Analyst,6.78,Bachelor,2.95,0.27,20,3,2,13,HR,1
350,Analyst,Program Manager,16.36,Master,5.0,0.4,16,2,2,7,Engineering,1
351,Analyst,Program Manager,0.79,Master,2.63,0.11,21,4,2,12,Engineering,0
352,Analyst,Data Analyst,13.32,Master,3.87,0.19,21,4,3,10,Marketing,0
353,Analyst,Data Analyst,6.16,High School,2.99,0.35,15,1,1,9,Sales,1
354,Analyst,Program Manager,1.79,Master,3.25,0.08,27,4,4,12,Sales,0
355,Analyst,Program Manager,5.44,Bachelor,3.82,0.12,18,0,1,6,Engineering,0
356,Manager,Business Analyst,8.37,Bachelor,4.36,0.24,18,3,1,8,Marketing,1
357,Consultant,Program Manager,2.52,Master,4.64,0.47,23,3,2,8,Sales,1
358,Manager,Data Analyst,7.06,Bachelor,2.42,0.55,26,2,0,14,Finance,1
359,Manager,Business Analyst,14.06,Master,3.69,0.13,16,3,2,13,Engineering,1
360,Consultant,Data Analyst,3.27,High School,4.52,0.3,16,1,2,19,Operations,1
361,Manager,Data Analyst,2.06,Master,2.32,0.51,28,4,1,12,Finance,1
362,Engineer,Business Analyst,4.53,High School,3.72,0.4,18,3,0,10,Marketing,1
363,Manager,Data Analyst,5.22,Master,3.5,0.28,19,0,0,6,Operations,1
364,Analyst,Program Manager,10.55,High School,3.79,0.32,18,2,7,11,Finance,1
365,Engineer,Data Analyst,4.41,High School,2.96,0.14,21,1,3,17,Sales,1
366,Engineer,Business Analyst,3.52,Bachelor,2.5,0.2,25,0,0,8,Sales,1
367,Consultant,Business Analyst,2.02,Bachelor,2.16,0.24,19,3,1,10,Operations,0
368,Manager,Business Analyst,0.94,Bachelor,4.18,0.23,18,1,2,13,HR,0
369,Manager,Data Analyst,1.48,Bachelor,4.27,0.22,29,1,5,12,Engineering,0
370,Engineer,Program Manager,1.47,Bachelor,3.71,0.12,23,1,0,9,Operations,1
371,Manager,Business Analyst,4.06,High School,3.13,0.52,25,4,0,18,Marketing,1
372,Manager,Program Manager,1.15,Bachelor,2.36,0.26,10,3,6,9,Engineering,0
373,Consultant,Business Analyst,4.79,Master,3.89,0.23,22,0,0,9,Finance,1
374,Engineer,Program Manager,16.12,Master,2.73,0.1,23,1,0,9,Marketing,0
375,Analyst,Program Manager,10.76,Master,3.0,0.34,22,4,8,10,Marketing,1
376,Engineer,Program Manager,4.03,Master,3.09,0.16,23,2,2,11,Sales,1
377,Consultant,Business Analyst,23.06,Bachelor,3.36,0.16,16,1,0,7,Finance,1
378,Consultant,Data Analyst,5.23,High School,2.97,0.19,23,2,0,2,Sales,1
379,Consultant,Data Analyst,5.81,Bachelor,3.52,0.39,19,1,0,8,Sales,1
380,Manager,Data Analyst,4.46,Master,3.06,0.32,27,3,0,10,HR,0
381,Engineer,Program Manager,4.87,Doctorate,3.99,0.06,23,3,5,14,Sales,0
382,Manager,Business Analyst,3.18,Bachelor,4.22,0.51,19,6,1,8,Engineering,0
383,Manager,Program Manager,4.08,High School,3.58,0.3,16,1,3,9,Marketing,0
384,Engineer,Business Analyst,13.38,High School,3.82,0.3,16,3,7,12,Sales,1
385,Consultant,Program Manager,11.55,Bachelor,4.98,0.14,25,1,1,11,Operations,1
386,Analyst,Business Analyst,0.5,Bachelor,2.68,0.45,15,4,0,7,Engineering,1
387,Analyst,Business Analyst,1.29,High School,2.64,0.25,21,2,2,16,Finance,0
388,Engineer,Business Analyst,2.55,Master,3.99,0.17,21,3,6,12,Marketing,0
389,Engineer,Program Manager,9.57,Bachelor,4.86,0.08,22,1,4,6,Operations,1
390,Consultant,Data Analyst,11.72,Master,3.32,0.23,27,2,0,8,Operations,1
391,Engineer,Program Manager,8.35,Master,4.71,0.48,18,2,3,9,Finance,1
392,Engineer,Program Manager,1.78,Master,3.57,0.17,21,2,2,11,Operations,1
393,Consultant,Business Analyst,3.23,Master,3.02,0.07,20,1,6,8,Engineering,0
394,Consultant,Business Analyst,7.14,Master,2.81,0.19,18,4,0,14,Finance,1
395,Manager,Data Analyst,4.13,Master,3.94,0.17,13,1,2,8,Operations,0
396,Engineer,Data Analyst,3.68,Master,2.86,0.28,25,1,5,9,Finance,0
397,Analyst,Business Analyst,3.73,Bachelor,3.56,0.13,19,2,1,11,Finance,0
398,Engineer,Data Analyst,10.97,Doctorate,4.61,0.15,23,2,1,7,Sales,1
399,Analyst,Data Analyst,7.67,Master,3.29,0.09,22,5,0,13,Sales,0
400,Analyst,Business Analyst,3.89,Master,4.42,0.35,16,0,0,5,Sales,0
401,Analyst,Program Manager,6.37,Master,2.65,0.16,17,0,1,11,Operations,0
402,Manager,Data Analyst,1.55,Bachelor,3.13,0.15,26,2,8,12,Marketing,0
403,Consultant,Business Analyst,3.24,High School,2.51,0.45,19,1,0,8,Engineering,0
404,Consultant,Data Analyst,10.26,Bachelor,3.55,0.53,20,4,1,7,Operations,1
405,Manager,Data Analyst,1.07,Bachelor,4.05,0.38,14,4,3,15,Sales,0
406,Consultant,Business Analyst,7.73,Master,3.55,0.5,20,2,0,9,Finance,1
407,Manager,Data Analyst,0.49,Bachelor,4.36,0.42,21,1,1,11,Operations,1
408,Engineer,Data Analyst,14.87,Bachelor,2.98,0.22,18,1,3,5,Finance,1
409,Manager,Data Analyst,3.17,Bachelor,3.66,0.11,28,4,5,13,Finance,0
410,Consultant,Program Manager,6.71,High School,3.13,0.18,21,1,2,13,Finance,0
411,Consultant,Program Manager,5.46,Master,3.75,0.16,22,8,3,11,HR,1
412,Engineer,Data Analyst,5.6,Master,3.85,0.36,21,0,0,11,Marketing,1
413,Manager,Business Analyst,6.29,Bachelor,3.91,0.24,20,1,8,8,Engineering,0
414,Engineer,Data Analyst,0.87,Bachelor,2.75,0.04,20,3,0,4,Engineering,1
415,Analyst,Data Analyst,5.69,Bachelor,2.88,0.18,24,1,4,10,Sales,0
416,Manager,Program Manager,4.32,Bachelor,3.01,0.08,12,3,0,10,HR,0
417,Engineer,Program Manager,3.19,High School,3.33,0.23,22,2,7,9,Operations,1
418,Engineer,Program Manager,2.55,Doctorate,3.56,0.46,17,2,3,14,Operations,1
419,Consultant,Data Analyst,5.8,Bachelor,4.0,0.11,18,1,3,9,Engineering,0
420,Manager,Data Analyst,2.09,Bachelor,2.91,0.52,28,2,0,4,Marketing,1
421,Analyst,Business Analyst,10.14,Bachelor,2.38,0.25,18,0,1,4,Finance,1
422,Analyst,Data Analyst,7.06,Master,5.0,0.36,18,1,2,11,Sales,1
423,Manager,Data Analyst,6.06,Master,2.71,0.14,23,0,4,13,Marketing,1
424,Manager,Program Manager,9.85,Master,4.09,0.26,20,5,0,12,Engineering,1
425,Engineer,Program Manager,0.72,High School,3.52,0.52,16,4,9,6,HR,1
426,Consultant,Program Manager,1.5,Master,3.68,0.48,19,3,6,9,Sales,1
427,Consultant,Program Manager,7.28,Bachelor,3.5,0.26,16,1,0,10,Engineering,0
428,Consultant,Program Manager,2.68,Bachelor,3.23,0.22,20,2,4,9,Operations,0
429,Manager,Business Analyst,2.99,Bachelor,3.82,0.28,11,1,2,14,Sales,1
430,Consultant,Business Analyst,1.29,Bachelor,3.19,0.32,14,4,1,6,Engineering,0
431,Engineer,Business Analyst,2.09,Master,4.32,0.56,14,1,1,7,Operations,0
432,Manager,Program Manager,10.29,Master,3.9,0.16,19,0,2,6,Operations,1
433,Manager,Program Manager,7.16,Bachelor,3.92,0.15,17,3,3,14,Finance,0
434,Consultant,Program Manager,5.75,Master,3.15,0.21,21,1,1,12,HR,0
435,Analyst,Business Analyst,3.09,Master,3.33,0.11,18,3,2,13,Finance,0
436,Analyst,Program Manager,5.49,Master,2.67,0.36,13,0,3,13,Engineering,1
437,Engineer,Business Analyst,10.9,Bachelor,3.25,0.07,13,2,3,16,Marketing,0
438,Consultant,Program Manager,2.74,Bachelor,2.77,0.58,26,2,0,10,Finance,1
439,Consultant,Data Analyst,4.87,Bachelor,4.42,0.28,23,1,5,13,Marketing,1
440,Manager,Business Analyst,15.47,Master,3.54,0.38,22,3,1,6,Operations,1
441,Manager,Data Analyst,8.27,High School,3.62,0.05,20,3,0,13,Engineering,1
442,Consultant,Business Analyst,3.12,Bachelor,3.34,0.39,17,1,0,10,HR,1
443,Manager,Program Manager,7.82,Bachelor,3.64,0.33,28,1,1,14,Marketing,1
444,Consultant,Program Manager,1.05,Bachelor,5.0,0.35,20,3,6,14,Engineering,0
445,Engineer,Data Analyst,4.72,Master,3.29,0.24,21,1,1,7,Marketing,0
446,Manager,Program Manager,7.81,Master,3.04,0.42,16,0,3,8,Finance,1
447,Consultant,Business Analyst,6.62,Master,3.87,0.13,25,1,0,3,Engineering,0
448,Manager,Program Manager,7.76,Master,1.73,0.33,20,3,1,13,Finance,0
449,Engineer,Program Manager,8.98,Bachelor,3.54,0.07,18,4,10,7,Sales,0
450,Manager,Business Analyst,7.0,Bachelor,3.24,0.11,12,2,4,10,Engineering,1
451,Consultant,Data Analyst,6.86,Bachelor,2.81,0.54,28,0,0,9,Marketing,1
452,Manager,Data Analyst,5.85,High School,3.86,0.16,14,2,1,11,Sales,0
453,Manager,Program Manager,1.87,Bachelor,3.54,0.12,24,1,0,6,Finance,1
454,Consultant,Business Analyst,10.29,Master,2.24,0.31,26,3,1,9,Finance,0
455,Analyst,Data Analyst,4.85,Bachelor,3.05,0.5,27,2,4,11,Marketing,1
456,Manager,Data Analyst,8.13,Master,1.48,0.19,14,2,4,6,Sales,0
457,Manager,Program Manager,9.59,Bachelor,3.71,0.68,16,2,0,11,Operations,0
458,Engineer,Business Analyst,3.26,High School,3.7,0.17,24,0,7,10,HR,1
459,Analyst,Data Analyst,3.5,High School,2.94,0.45,17,3,2,7,Marketing,0
460,Engineer,Program Manager,3.9,Bachelor,3.88,0.29,24,2,1,11,Finance,0
461,Consultant,Program Manager,11.61,Bachelor,2.6,0.21,16,0,1,11,Engineering,0
462,Consultant,Program Manager,2.27,High School,2.82,0.36,9,2,2,11,Sales,1
463,Engineer,Program Manager,12.96,Bachelor,3.79,0.09,20,2,2,11,Operations,0
464,Manager,Data Analyst,5.8,Bachelor,3.02,0.24,14,2,1,9,HR,0
465,Analyst,Business Analyst,6.11,Bachelor,3.46,0.21,24,2,1,10,Engineering,0
466,Engineer,Program Manager,9.3,Master,3.11,0.34,21,3,0,8,Sales,1
467,Engineer,Program Manager,5.33,Master,3.21,0.29,13,1,4,6,Operations,1
468,Consultant,Data Analyst,10.37,Bachelor,3.24,0.35,27,2,2,13,Marketing,1
469,Manager,Program Manager,3.25,Master,3.01,0.42,25,2,0,13,Operations,1
470,Analyst,Program Manager,12.69,Master,3.71,0.24,29,3,4,11,Marketing,1
471,Engineer,Business Analyst,3.47,Master,3.06,0.3,18,2,7,7,Sales,0
472,Analyst,Program Manager,13.01,Bachelor,3.51,0.57,17,4,8,6,Operations,1
473,Analyst,Data Analyst,3.54,High School,2.99,0.29,23,2,1,8,HR,1
474,Engineer,Business Analyst,3.99,Master,2.43,0.24,28,1,0,7,Operations,1
475,Analyst,Data Analyst,2.03,Bachelor,4.14,0.43,24,1,2,18,Sales,1
476,Consultant,Business Analyst,2.58,Master,3.85,0.25,11,0,0,9,Engineering,0
477,Manager,Business Analyst,4.87,Master,5.0,0.59,17,2,7,11,Engineering,1
478,Manager,Program Manager,5.96,Bachelor,2.77,0.49,18,4,0,8,Operations,1
479,Manager,Program Manager,9.86,Bachelor,3.35,0.19,19,1,0,11,Operations,0
480,Consultant,Program Manager,4.22,Bachelor,3.41,0.22,16,0,1,12,Marketing,1
481,Consultant,Data Analyst,6.63,Bachelor,4.19,0.45,24,2,1,12,Sales,1
482,Consultant,Program Manager,5.67,Bachelor,3.15,0.43,21,0,4,17,Marketing,1
483,Manager,Program Manager,7.16,Bachelor,2.68,0.47,23,0,1,11,HR,1
484,Analyst,Business Analyst,2.91,Bachelor,4.35,0.25,11,3,0,17,Engineering,0
485,Consultant,Program Manager,3.21,Bachelor,3.28,0.29,20,2,0,8,Finance,0
486,Engineer,Program Manager,2.92,Doctorate,4.12,0.23,18,3,1,9,Finance,0
487,Consultant,Program Manager,11.16,High School,4.03,0.23,11,1,0,8,Sales,1
488,Engineer,Program Manager,12.77,Master,3.48,0.17,26,1,2,7,Sales,1
489,Manager,Business Analyst,3.1,Master,3.38,0.49,21,2,2,9,Finance,1
490,Engineer,Program Manager,3.15,Bachelor,3.23,0.33,19,4,3,14,Sales,1
491,Consultant,Business Analyst,7.87,Master,3.49,0.34,19,3,7,5,Engineering,1
492,Consultant,Data Analyst,13.71,Bachelor,4.1,0.47,22,1,6,12,HR,1
493,Analyst,Program Manager,15.68,Master,2.94,0.06,19,4,8,5,HR,1
494,Manager,Program Manager,2.98,Bachelor,3.58,0.33,27,1,0,7,Marketing,0
495,Engineer,Program Manager,3.64,Bachelor,2.72,0.51,21,3,0,13,Engineering,0
496,Manager,Business Analyst,6.19,Bachelor,2.8,0.11,26,1,1,6,Sales,0
497,Consultant,Program Manager,6.41,Bachelor,3.48,0.48,20,1,6,9,Sales,0
498,Analyst,Program Manager,4.35,Bachelor,2.13,0.34,20,2,10,6,Marketing,0
499,Consultant,Data Analyst,2.5,Bachelor,4.94,0.31,21,3,5,15,Marketing,0
500,Consultant,Business Analyst,4.87,Bachelor,2.66,0.32,26,1,0,7,Sales,0
